Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.011877588153005093,0.0,0.03636683338370293,0.0,2.291666666666667,2.291666666666667
0.008686822189230744,0.0,0.0,0.0,2.5,2.5
0.010424128198546791,0.0,0.0,0.0,2.2083333333333335,2.2083333333333335
0.008495311850007051,0.002481016899623873,0.0,0.0,2.0,2.0
0.01428176089562626,0.001954423758054901,0.007350951895249679,0.0,2.0,2.0
0.027783475335404425,0.0,0.020851722290042545,0.0,2.0,2.0
0.031687729697372415,0.004178335896964149,0.019872042562227438,0.0,2.0,2.0
0.03581584682035695,0.012573068637349414,0.020633029448132268,0.017666666666666667,2.0,2.0
0.04218983827630317,0.010237249962744605,0.021518875190615128,0.1125,2.0,2.0
0.04799863737941505,0.0002565838280051111,0.022605455807179625,0.2011666666666667,2.0,2.0
0.058845827397179404,0.0,0.02650083308187927,0.2659166666666667,2.0,2.0
0.06465462650029126,0.0,0.03233532896328605,0.2566666666666667,2.0,2.0
0.06078209376488335,0.0,0.03409726660749546,0.02608333333333333,2.0,2.0
0.05690956102947542,0.0,0.034812146233122454,0.06966666666666667,2.0,2.0
0.053037028294067506,0.0,0.037674433208638024,0.31350000000000006,2.0,2.0
0.053037028294067506,0.0,0.03323188467906916,0.03483333333333333,2.0,2.0
0.05858325341497592,0.0,0.027412380559909,0.0,2.0,2.0
0.05962440751408692,0.0013563306757316145,0.025495940432845716,0.0,2.0,2.0
0.05583196355553369,0.004100588812198827,0.025966667405213237,0.0,2.0,2.0
0.05195943082012576,0.008282126304248775,0.02586009676205528,0.0,2.0,2.0
0.04808689808471783,0.012129810308474598,0.026168631877478952,0.0,2.0,2.0
0.0442143653493099,0.006857613802777123,0.025629491942672757,0.0,2.0,2.0
0.025964772619787885,0.004052007823354759,0.02346364231152603,0.0,2.0,2.0
0.012700783573191429,0.007186260218070917,0.021314758423287943,0.0,2.0,2.0
0.011465990442911926,0.0,0.04092298627682995,0.0,2.0,2.0
0.008686822189230744,0.0,0.0,0.0,2.0,2.0
0.010424128198546791,0.0,0.0,0.0,2.0,2.0
0.008495311850007051,0.0036187393287571657,8.457680654004371e-05,0.0,2.0,2.0
0.01428176089562626,0.0028947262605787416,0.007473637699888274,0.0,2.0,2.0
0.02906546714617984,0.0003322965880898181,0.020616268643537657,0.0,2.0,2.0
0.03288664267041741,0.006489561774877495,0.02010672043529383,0.0,2.0,2.0
0.036598997852115935,0.019040395542502028,0.020476219954992093,0.021,2.0,2.0
0.042772767365925425,0.016487217708241353,0.021872480037886683,0.0945,1.4166666666666667,1.4166666666666667
0.0485815664690373,0.013892745170806884,0.022429452035677727,0.0105,1.0,1.0
0.06001168557642392,0.0025328841778694297,0.02333375063850385,0.0,1.0,1.0
0.06582048467953577,0.0074305766422784695,0.027230527815866736,0.06933333333333333,1.0,1.0
0.06194795194412787,0.007461207745009236,0.028026332848802273,0.312,1.0,1.0
0.05807541920871993,0.001630386559385925,0.02894389621266641,0.1165,1.0,1.0
0.05420288647331201,0.0,0.03603236737341115,0.46091666666666675,1.5833333333333333,1.5833333333333333
0.05420288647331201,0.0,0.037246498002402664,0.5264166666666666,2.0,2.0
0.06001168557642392,0.0,0.035042931735261205,0.35458333333333325,2.0,2.0
0.06169354989037247,0.0,0.0314419407381315,0.034249999999999996,2.0,2.0
0.05830154981609269,0.0013173155729036513,0.02509249601347136,0.0,2.0,2.0
0.05442901708068477,0.004204149454516703,0.02523438235895576,0.0,2.0,2.0
0.050556484345276834,0.006503886959759314,0.026588086775963003,0.0,0.8333333333333334,0.8333333333333334
0.04668395160986891,0.0031436957251257747,0.02513176288391429,0.0,0.0,0.0
0.025964772619787885,0.0021435277885303748,0.023395050051250595,0.0,0.0,0.0
0.012700783573191429,0.004305912766048189,0.022486113364624798,0.0,0.0,0.0
0.011465990442911926,0.0,0.03813944996939169,0.0,0.0,0.0
0.008686822189230744,0.0,0.0,0.0,0.0,0.0
0.010424128198546791,0.0,0.0,0.0,0.0,0.0
0.008495311850007051,0.0026733481779386303,0.007320475481513052,0.0,0.0,0.0
0.01428176089562626,0.0003802370759379649,0.017589286021953872,0.0,0.0,0.0
0.02906546714617984,0.00010397620165431111,0.02435674234504464,0.0,0.0,0.0
0.03288664267041741,0.002872125218187269,0.022022993019187698,0.0,0.0,0.0
0.03675917540582532,0.010082075551872866,0.021231754085152387,0.0,0.0,0.0
0.0442143653493099,0.00849077344926718,0.022339347812048514,0.0,1.1666666666666667,1.1666666666666667
0.05002316445242179,0.007030208740635023,0.022771581686119098,0.0,2.0,2.0
0.06217408255150063,3.537609132664401e-05,0.02371372577624409,0.0,2.0,2.0
0.06798288165461248,0.00525161439182983,0.02734527001874008,0.0,2.0,2.0
0.06411034891920457,0.010138074518323891,0.0284772273954897,0.0,2.0,2.0
0.060237816183796644,0.007898990132893547,0.028666127517978788,0.0,2.0,2.0
0.056365283448388724,0.0024884200468850495,0.029013819231738278,0.0,0.8333333333333334,0.8333333333333334
0.056365283448388724,0.0,0.028126943542651727,0.0,0.0,0.0
0.06217408255150063,0.004273924348980566,0.026477307219651625,0.0,0.0,0.0
0.06217408255150063,0.013122457793627645,0.026419358417345266,0.0,0.0,0.0
0.05830154981609269,0.026617121635256598,0.025994845310951333,0.0,0.0,0.0
0.05442901708068477,0.02691073617792029,0.025310155925258405,0.0,0.0,0.0
0.050556484345276834,0.026598497098981405,0.025596884682675687,0.0,1.1666666666666667,1.1666666666666667
